"","ExperimentName","Subject","Group","Block","Trial","STIM","TASK","Switch","Congruent","CVOE","Response","KEY","RT","Match","score"
"48","CVOE updated",5,1,1,58,"D 67","","",TRUE,"CV","q","q",644,TRUE,1
"49","CVOE updated",5,1,1,59,"A 79","","",FALSE,"CV","p","p",580,TRUE,1
"50","CVOE updated",5,1,1,60,"S 52","","",FALSE,"CV","q","q",466,TRUE,1
"51","CVOE updated",5,1,1,61,"U 16","","",TRUE,"CV","p","p",912,TRUE,1
"52","CVOE updated",5,1,1,62,"O 82","","",TRUE,"CV","p","p",670,TRUE,1
"53","CVOE updated",5,1,1,63,"H 87","","",TRUE,"CV","q","q",547,TRUE,1
"54","CVOE updated",5,1,1,64,"I 32","","",TRUE,"CV","p","p",881,TRUE,1
"55","CVOE updated",5,1,1,65,"U 37","","",FALSE,"CV","p","p",562,TRUE,1
"56","CVOE updated",5,1,1,66,"I 42","","",TRUE,"CV","p","p",946,TRUE,1
"57","CVOE updated",5,1,1,67,"D 65","","",TRUE,"CV","q","q",416,TRUE,1
"58","CVOE updated",5,1,1,68,"U 77","","",FALSE,"CV","p","p",491,TRUE,1
"59","CVOE updated",5,1,1,69,"E 12","","",TRUE,"CV","q","p",590,FALSE,0
"60","CVOE updated",5,1,1,70,"I 60","","",TRUE,"CV","p","p",964,TRUE,1
"61","CVOE updated",5,1,1,71,"J 36","","",FALSE,"CV","q","q",1332,TRUE,1
"62","CVOE updated",5,1,1,72,"H 75","","",TRUE,"CV","q","q",1288,TRUE,1
"63","CVOE updated",5,1,1,73,"I 50","","",TRUE,"CV","q","p",555,FALSE,0
"64","CVOE updated",5,1,1,74,"E 99","","",FALSE,"CV","p","p",956,TRUE,1
"65","CVOE updated",5,1,1,75,"A 86","","",TRUE,"CV","q","p",716,FALSE,0
"66","CVOE updated",5,1,1,76,"U 48","","",TRUE,"CV","p","p",533,TRUE,1
"67","CVOE updated",5,1,1,77,"E 01","","",FALSE,"CV","p","p",656,TRUE,1
"68","CVOE updated",5,1,1,78,"A 78","","",TRUE,"CV","q","p",731,FALSE,0
"69","CVOE updated",5,1,1,79,"P 60","","",FALSE,"CV","q","q",598,TRUE,1
"70","CVOE updated",5,1,1,80,"E 43","","",FALSE,"CV","p","p",958,TRUE,1
"71","CVOE updated",5,1,1,81,"D 69","","",TRUE,"CV","q","q",559,TRUE,1
"72","CVOE updated",5,1,1,82,"H 11","","",TRUE,"CV","q","q",895,TRUE,1
"73","CVOE updated",5,1,1,83,"P 43","","",TRUE,"CV","q","q",619,TRUE,1
"74","CVOE updated",5,1,1,84,"O 67","","",FALSE,"CV","p","p",1134,TRUE,1
"75","CVOE updated",5,1,1,85,"S 91","","",FALSE,"CV","q","q",505,TRUE,1
"76","CVOE updated",5,1,1,86,"J 68","","",TRUE,"CV","q","q",647,TRUE,1
"77","CVOE updated",5,1,1,87,"S 47","","",FALSE,"CV","q","q",762,TRUE,1
"78","CVOE updated",5,1,1,88,"I 81","","",TRUE,"CV","p","p",690,TRUE,1
"79","CVOE updated",5,1,1,89,"J 39","","",FALSE,"CV","q","q",621,TRUE,1
"80","CVOE updated",5,1,1,90,"A 11","","",TRUE,"CV","p","p",811,TRUE,1
"81","CVOE updated",5,1,1,91,"O 76","","",FALSE,"CV","p","p",510,TRUE,1
"82","CVOE updated",5,1,1,92,"A 62","","",FALSE,"CV","p","p",1260,TRUE,1
"83","CVOE updated",5,1,1,93,"O 27","","",TRUE,"CV","p","p",466,TRUE,1
"84","CVOE updated",5,1,1,94,"E 66","","",FALSE,"CV","q","p",552,FALSE,0
"85","CVOE updated",5,1,1,95,"J 62","","",TRUE,"CV","q","q",774,TRUE,1
"86","CVOE updated",5,1,1,96,"H 72","","",TRUE,"CV","q","q",609,TRUE,1
"87","CVOE updated",5,1,1,97,"E 49","","",TRUE,"CV","p","p",948,TRUE,1
"88","CVOE updated",5,1,1,98,"D 52","","",TRUE,"CV","q","q",466,TRUE,1
"89","CVOE updated",5,1,1,99,"H 62","","",TRUE,"CV","q","q",551,TRUE,1
"90","CVOE updated",5,1,1,100,"I 11","","",TRUE,"CV","p","p",637,TRUE,1
"91","CVOE updated",5,1,1,101,"A 98","","",FALSE,"CV","p","p",1494,TRUE,1
"92","CVOE updated",5,1,1,102,"H 29","","",FALSE,"CV","q","q",1457,TRUE,1
"93","CVOE updated",5,1,1,103,"E 83","","",TRUE,"CV","p","p",596,TRUE,1
"94","CVOE updated",5,1,1,104,"D 43","","",FALSE,"CV","q","q",501,TRUE,1
"95","CVOE updated",5,1,1,105,"P 45","","",TRUE,"CV","q","q",491,TRUE,1
"96","CVOE updated",5,1,1,106,"J 17","","",TRUE,"CV","q","q",462,TRUE,1
"97","CVOE updated",5,1,2,11,"A 24","","",TRUE,"OE","p","p",879,TRUE,1
"98","CVOE updated",5,1,2,12,"O 83","","",FALSE,"OE","q","q",495,TRUE,1
"99","CVOE updated",5,1,2,13,"H 55","","",TRUE,"OE","q","q",626,TRUE,1
"100","CVOE updated",5,1,2,14,"P 10","","",FALSE,"OE","p","p",960,TRUE,1
"101","CVOE updated",5,1,2,15,"D 30","","",FALSE,"OE","p","p",872,TRUE,1
"102","CVOE updated",5,1,2,16,"U 62","","",TRUE,"OE","p","p",1646,TRUE,1
"103","CVOE updated",5,1,2,17,"P 95","","",TRUE,"OE","q","q",626,TRUE,1
"104","CVOE updated",5,1,2,18,"U 06","","",TRUE,"OE","p","p",592,TRUE,1
"105","CVOE updated",5,1,2,19,"E 75","","",FALSE,"OE","q","q",533,TRUE,1
"106","CVOE updated",5,1,2,20,"I 67","","",FALSE,"OE","q","q",1128,TRUE,1
"107","CVOE updated",5,1,2,21,"S 13","","",TRUE,"OE","q","q",1620,TRUE,1
"108","CVOE updated",5,1,2,22,"P 78","","",FALSE,"OE","p","p",578,TRUE,1
"109","CVOE updated",5,1,2,23,"I 15","","",FALSE,"OE","q","q",1461,TRUE,1
"110","CVOE updated",5,1,2,24,"D 27","","",TRUE,"OE","q","q",659,TRUE,1
"111","CVOE updated",5,1,2,25,"O 94","","",TRUE,"OE","p","p",838,TRUE,1
"112","CVOE updated",5,1,2,26,"A 65","","",FALSE,"OE","q","q",519,TRUE,1
"113","CVOE updated",5,1,2,27,"I 42","","",TRUE,"OE","p","p",607,TRUE,1
"114","CVOE updated",5,1,2,28,"E 25","","",FALSE,"OE","q","q",530,TRUE,1
"115","CVOE updated",5,1,2,29,"H 49","","",TRUE,"OE","q","q",557,TRUE,1
"116","CVOE updated",5,1,2,30,"S 18","","",FALSE,"OE","p","p",558,TRUE,1
"117","CVOE updated",5,1,2,31,"H 51","","",TRUE,"OE","q","q",678,TRUE,1
"118","CVOE updated",5,1,2,32,"U 14","","",TRUE,"OE","p","p",815,TRUE,1
"119","CVOE updated",5,1,2,33,"E 02","","",TRUE,"OE","p","p",602,TRUE,1
"120","CVOE updated",5,1,2,34,"J 26","","",FALSE,"OE","p","p",586,TRUE,1
"121","CVOE updated",5,1,2,35,"D 24","","",FALSE,"OE","p","p",505,TRUE,1
"122","CVOE updated",5,1,2,36,"O 50","","",TRUE,"OE","q","p",1918,FALSE,0
"123","CVOE updated",5,1,2,37,"U 16","","",TRUE,"OE","p","p",695,TRUE,1
"124","CVOE updated",5,1,2,38,"O 15","","",FALSE,"OE","q","q",610,TRUE,1
"125","CVOE updated",5,1,2,39,"D 32","","",FALSE,"OE","p","p",773,TRUE,1
"126","CVOE updated",5,1,2,40,"S 67","","",TRUE,"OE","q","q",912,TRUE,1
"127","CVOE updated",5,1,2,41,"J 74","","",FALSE,"OE","p","p",1486,TRUE,1
"128","CVOE updated",5,1,2,42,"D 92","","",FALSE,"OE","p","p",687,TRUE,1
"129","CVOE updated",5,1,2,43,"A 65","","",FALSE,"OE","q","q",794,TRUE,1
"130","CVOE updated",5,1,2,44,"I 87","","",FALSE,"OE","q","q",1066,TRUE,1
"131","CVOE updated",5,1,2,45,"H 61","","",TRUE,"OE","q","q",896,TRUE,1
"132","CVOE updated",5,1,2,46,"E 59","","",FALSE,"OE","q","q",635,TRUE,1
"133","CVOE updated",5,1,2,47,"I 33","","",FALSE,"OE","q","q",612,TRUE,1
"134","CVOE updated",5,1,2,48,"O 90","","",TRUE,"OE","p","p",1191,TRUE,1
"135","CVOE updated",5,1,2,49,"U 51","","",FALSE,"OE","q","q",1093,TRUE,1
"136","CVOE updated",5,1,2,50,"A 10","","",TRUE,"OE","p","p",872,TRUE,1
"137","CVOE updated",5,1,2,51,"E 50","","",TRUE,"OE","p","p",558,TRUE,1
"138","CVOE updated",5,1,2,52,"D 92","","",FALSE,"OE","p","p",678,TRUE,1
"139","CVOE updated",5,1,2,53,"E 60","","",TRUE,"OE","p","p",639,TRUE,1
"140","CVOE updated",5,1,2,54,"A 95","","",FALSE,"OE","q","q",1423,TRUE,1
"141","CVOE updated",5,1,2,55,"E 64","","",TRUE,"OE","p","p",909,TRUE,1
"142","CVOE updated",5,1,2,56,"P 20","","",FALSE,"OE","p","p",691,TRUE,1
"143","CVOE updated",5,1,2,57,"S 06","","",FALSE,"OE","p","p",782,TRUE,1
"144","CVOE updated",5,1,2,58,"P 64","","",FALSE,"OE","p","p",596,TRUE,1
"145","CVOE updated",5,1,2,59,"U 70","","",TRUE,"OE","p","p",565,TRUE,1
"146","CVOE updated",5,1,2,60,"S 16","","",FALSE,"OE","p","p",541,TRUE,1
"147","CVOE updated",5,1,2,61,"E 35","","",FALSE,"OE","q","q",564,TRUE,1
"148","CVOE updated",5,1,2,62,"I 93","","",FALSE,"OE","q","q",555,TRUE,1
"149","CVOE updated",5,1,2,63,"D 63","","",TRUE,"OE","q","q",588,TRUE,1
"150","CVOE updated",5,1,2,64,"U 89","","",FALSE,"OE","q","q",625,TRUE,1
"151","CVOE updated",5,1,2,65,"E 91","","",FALSE,"OE","q","q",639,TRUE,1
"152","CVOE updated",5,1,2,66,"A 12","","",TRUE,"OE","p","p",448,TRUE,1
"153","CVOE updated",5,1,2,67,"P 56","","",FALSE,"OE","p","p",563,TRUE,1
"154","CVOE updated",5,1,2,68,"S 65","","",TRUE,"OE","q","q",579,TRUE,1
"155","CVOE updated",5,1,2,69,"P 07","","",TRUE,"OE","q","q",894,TRUE,1
"156","CVOE updated",5,1,2,70,"I 77","","",FALSE,"OE","q","q",593,TRUE,1
"157","CVOE updated",5,1,2,71,"J 19","","",TRUE,"OE","q","q",651,TRUE,1
"158","CVOE updated",5,1,2,72,"O 59","","",FALSE,"OE","q","q",469,TRUE,1
"159","CVOE updated",5,1,2,73,"J 15","","",TRUE,"OE","q","q",700,TRUE,1
"160","CVOE updated",5,1,2,74,"I 89","","",FALSE,"OE","q","q",1254,TRUE,1
"161","CVOE updated",5,1,2,75,"O 97","","",FALSE,"OE","q","q",785,TRUE,1
"162","CVOE updated",5,1,2,76,"A 92","","",TRUE,"OE","p","p",623,TRUE,1
"163","CVOE updated",5,1,2,77,"J 90","","",FALSE,"OE","p","p",493,TRUE,1
"164","CVOE updated",5,1,2,78,"H 65","","",TRUE,"OE","q","q",936,TRUE,1
"165","CVOE updated",5,1,2,79,"H 17","","",TRUE,"OE","q","q",651,TRUE,1
"166","CVOE updated",5,1,2,80,"S 26","","",FALSE,"OE","p","p",470,TRUE,1
"167","CVOE updated",5,1,2,81,"D 56","","",FALSE,"OE","p","p",468,TRUE,1
"168","CVOE updated",5,1,2,82,"I 91","","",FALSE,"OE","q","q",489,TRUE,1
"169","CVOE updated",5,1,2,83,"J 11","","",TRUE,"OE","q","q",453,TRUE,1
"170","CVOE updated",5,1,2,84,"O 28","","",TRUE,"OE","p","p",456,TRUE,1
"171","CVOE updated",5,1,2,85,"H 29","","",TRUE,"OE","q","q",499,TRUE,1
"172","CVOE updated",5,1,2,86,"J 25","","",TRUE,"OE","q","q",582,TRUE,1
"173","CVOE updated",5,1,2,87,"A 73","","",FALSE,"OE","q","q",483,TRUE,1
"174","CVOE updated",5,1,2,88,"J 63","","",TRUE,"OE","q","q",556,TRUE,1
"175","CVOE updated",5,1,2,89,"U 84","","",TRUE,"OE","p","p",516,TRUE,1
"176","CVOE updated",5,1,2,90,"A 58","","",TRUE,"OE","p","p",533,TRUE,1
"177","CVOE updated",5,1,2,91,"S 43","","",TRUE,"OE","q","q",536,TRUE,1
"178","CVOE updated",5,1,2,92,"H 54","","",FALSE,"OE","p","p",611,TRUE,1
"179","CVOE updated",5,1,2,93,"D 4","","",FALSE,"OE","p","p",590,TRUE,1
"180","CVOE updated",5,1,2,94,"J 75","","",TRUE,"OE","q","q",532,TRUE,1
"181","CVOE updated",5,1,2,95,"D 19","","",TRUE,"OE","q","q",584,TRUE,1
"182","CVOE updated",5,1,2,96,"J 38","","",FALSE,"OE","p","p",660,TRUE,1
"183","CVOE updated",5,1,2,97,"I 56","","",TRUE,"OE","q","p",498,FALSE,0
"184","CVOE updated",5,1,2,98,"P 87","","",TRUE,"OE","q","q",605,TRUE,1
"185","CVOE updated",5,1,2,99,"O 80","","",TRUE,"OE","p","p",534,TRUE,1
"186","CVOE updated",5,1,2,100,"U 60","","",TRUE,"OE","p","p",649,TRUE,1
"187","CVOE updated",5,1,2,101,"P 48","","",FALSE,"OE","p","p",564,TRUE,1
"188","CVOE updated",5,1,2,102,"H 64","","",FALSE,"OE","p","p",652,TRUE,1
"189","CVOE updated",5,1,2,103,"A 13","","",FALSE,"OE","q","q",464,TRUE,1
"190","CVOE updated",5,1,2,104,"H 68","","",FALSE,"OE","p","p",581,TRUE,1
"191","CVOE updated",5,1,2,105,"E 16","","",TRUE,"OE","p","p",555,TRUE,1
"192","CVOE updated",5,1,2,106,"S 71","","",TRUE,"OE","q","q",452,TRUE,1
"193","CVOE updated",5,1,3,11,"A 44","Letter","N",TRUE,"CV","p","p",3610,TRUE,1
"194","CVOE updated",5,1,3,12,"D 94","Letter","N",FALSE,"CV","q","q",743,TRUE,1
"195","CVOE updated",5,1,3,13,"E 75","Number","Y",FALSE,"OE","p","p",780,TRUE,1
"196","CVOE updated",5,1,3,14,"H 81","Number","N",TRUE,"OE","q","p",1378,FALSE,0
"197","CVOE updated",5,1,3,15,"I 64","Letter","Y",TRUE,"CV","p","p",862,TRUE,1
"198","CVOE updated",5,1,3,16,"J 54","Letter","N",FALSE,"CV","q","q",4885,TRUE,1
"199","CVOE updated",5,1,3,17,"O 23","Number","Y",FALSE,"OE","q","q",1150,TRUE,1
"200","CVOE updated",5,1,3,18,"P 05","Number","N",TRUE,"OE","q","q",988,TRUE,1
"201","CVOE updated",5,1,3,19,"S 34","Letter","Y",FALSE,"CV","q","q",1905,TRUE,1
"202","CVOE updated",5,1,3,20,"U 88","Letter","N",TRUE,"CV","p","p",2680,TRUE,1
"203","CVOE updated",5,1,3,21,"A 70","Number","Y",TRUE,"OE","q","p",1585,FALSE,0
"204","CVOE updated",5,1,3,22,"D 12","Number","N",FALSE,"OE","p","p",1407,TRUE,1
"205","CVOE updated",5,1,3,23,"E 79","Letter","Y",FALSE,"CV","p","p",1562,TRUE,1
"206","CVOE updated",5,1,3,24,"H 72","Letter","N",FALSE,"CV","q","q",2299,TRUE,1
"207","CVOE updated",5,1,3,25,"I 41","Number","Y",FALSE,"OE","q","q",1370,TRUE,1
"208","CVOE updated",5,1,3,26,"J 63","Number","N",TRUE,"OE","q","q",862,TRUE,1
"209","CVOE updated",5,1,3,27,"O 03","Letter","Y",FALSE,"CV","p","p",1467,TRUE,1
"210","CVOE updated",5,1,3,28,"P 75","Letter","N",TRUE,"CV","q","q",1409,TRUE,1
"211","CVOE updated",5,1,3,29,"S 61","Number","Y",TRUE,"OE","q","q",1092,TRUE,1
"212","CVOE updated",5,1,3,30,"U 28","Number","N",TRUE,"OE","p","p",817,TRUE,1
"213","CVOE updated",5,1,3,31,"A 21","Letter","Y",FALSE,"CV","p","p",1635,TRUE,1
"214","CVOE updated",5,1,3,32,"D 18","Letter","N",FALSE,"CV","q","q",876,TRUE,1
"215","CVOE updated",5,1,3,33,"E 35","Number","Y",FALSE,"OE","q","q",1076,TRUE,1
"216","CVOE updated",5,1,3,34,"H 62","Number","N",FALSE,"OE","p","p",1006,TRUE,1
"217","CVOE updated",5,1,3,35,"I 82","Letter","Y",TRUE,"CV","p","p",1093,TRUE,1
"218","CVOE updated",5,1,3,36,"J 78","Letter","N",FALSE,"CV","q","q",1034,TRUE,1
"219","CVOE updated",5,1,3,37,"O 12","Number","Y",TRUE,"OE","p","p",921,TRUE,1
"220","CVOE updated",5,1,3,38,"P 13","Number","N",TRUE,"OE","q","q",699,TRUE,1
"221","CVOE updated",5,1,3,39,"S 07","Letter","Y",TRUE,"CV","q","q",846,TRUE,1
"222","CVOE updated",5,1,3,40,"U 36","Letter","N",TRUE,"CV","q","p",1197,FALSE,0
"223","CVOE updated",5,1,3,41,"A 96","Number","Y",TRUE,"OE","q","p",782,FALSE,0
"224","CVOE updated",5,1,3,42,"D 04","Number","N",FALSE,"OE","p","p",1292,TRUE,1
"225","CVOE updated",5,1,3,43,"E 60","Letter","Y",TRUE,"CV","p","p",2008,TRUE,1
"226","CVOE updated",5,1,3,44,"H 83","Letter","N",TRUE,"CV","q","q",1483,TRUE,1
"227","CVOE updated",5,1,3,45,"I 64","Number","Y",TRUE,"OE","p","p",1900,TRUE,1
"228","CVOE updated",5,1,3,46,"J 76","Number","N",FALSE,"OE","p","p",930,TRUE,1
"229","CVOE updated",5,1,3,47,"O 78","Letter","Y",TRUE,"CV","p","p",1454,TRUE,1
"230","CVOE updated",5,1,3,48,"P 09","Letter","N",TRUE,"CV","q","q",978,TRUE,1
"231","CVOE updated",5,1,3,49,"S 72","Number","Y",FALSE,"OE","p","p",1012,TRUE,1
"232","CVOE updated",5,1,3,50,"U 47","Number","N",FALSE,"OE","q","q",1455,TRUE,1
"233","CVOE updated",5,1,3,51,"A 31","Letter","Y",FALSE,"CV","p","p",1010,TRUE,1
"234","CVOE updated",5,1,3,52,"D 96","Letter","N",FALSE,"CV","q","q",766,TRUE,1
"235","CVOE updated",5,1,3,53,"E 40","Number","Y",TRUE,"OE","p","p",1703,TRUE,1
"236","CVOE updated",5,1,3,54,"H 79","Number","N",TRUE,"OE","q","q",1332,TRUE,1
"237","CVOE updated",5,1,3,55,"I 15","Letter","Y",FALSE,"CV","p","p",1816,TRUE,1
"238","CVOE updated",5,1,3,56,"J 07","Letter","N",TRUE,"CV","q","q",2123,TRUE,1
"239","CVOE updated",5,1,3,57,"O 61","Number","Y",FALSE,"OE","q","q",1108,TRUE,1
"240","CVOE updated",5,1,3,58,"P 58","Number","N",FALSE,"OE","p","p",2770,TRUE,1
"241","CVOE updated",5,1,3,59,"S 37","Letter","Y",TRUE,"CV","q","q",2887,TRUE,1
"242","CVOE updated",5,1,3,60,"U 61","Letter","N",FALSE,"CV","p","p",850,TRUE,1
"243","CVOE updated",5,1,3,61,"A 17","Number","Y",FALSE,"OE","q","q",1349,TRUE,1
"244","CVOE updated",5,1,3,62,"D 85","Number","N",TRUE,"OE","q","q",1891,TRUE,1
"245","CVOE updated",5,1,3,63,"E 20","Letter","Y",TRUE,"CV","p","p",1279,TRUE,1
"246","CVOE updated",5,1,3,64,"H 86","Letter","N",FALSE,"CV","q","q",1864,TRUE,1
"247","CVOE updated",5,1,3,65,"I 21","Number","Y",FALSE,"OE","q","q",879,TRUE,1
"248","CVOE updated",5,1,3,66,"J 29","Number","N",TRUE,"OE","q","q",1470,TRUE,1
"249","CVOE updated",5,1,3,67,"O 13","Letter","Y",FALSE,"CV","p","p",1118,TRUE,1
"250","CVOE updated",5,1,3,68,"P 82","Letter","N",FALSE,"CV","q","q",629,TRUE,1
"251","CVOE updated",5,1,3,69,"S 72","Number","Y",FALSE,"OE","p","p",1572,TRUE,1
"252","CVOE updated",5,1,3,70,"U 84","Number","N",TRUE,"OE","p","p",1062,TRUE,1
"253","CVOE updated",5,1,3,71,"A 49","Letter","Y",FALSE,"CV","p","p",1077,TRUE,1
"254","CVOE updated",5,1,3,72,"D 91","Letter","N",TRUE,"CV","q","q",901,TRUE,1
"255","CVOE updated",5,1,3,73,"E 99","Number","Y",FALSE,"OE","q","q",1131,TRUE,1
"256","CVOE updated",5,1,3,74,"H 16","Number","N",FALSE,"OE","p","p",887,TRUE,1
"257","CVOE updated",5,1,3,75,"I 45","Letter","Y",FALSE,"CV","q","p",1553,FALSE,0
"258","CVOE updated",5,1,3,76,"J 70","Letter","N",FALSE,"CV","q","q",2099,TRUE,1
"259","CVOE updated",5,1,3,77,"O 22","Number","Y",TRUE,"OE","p","p",1815,TRUE,1
"260","CVOE updated",5,1,3,78,"P 41","Number","N",TRUE,"OE","p","q",937,FALSE,0
"261","CVOE updated",5,1,3,79,"S 93","Letter","Y",TRUE,"CV","q","q",1941,TRUE,1
"262","CVOE updated",5,1,3,80,"U 70","Letter","N",TRUE,"CV","p","p",2859,TRUE,1
"263","CVOE updated",5,1,3,81,"A 42","Number","Y",TRUE,"OE","p","p",1401,TRUE,1
"264","CVOE updated",5,1,3,82,"D 85","Number","N",TRUE,"OE","q","q",3706,TRUE,1
"265","CVOE updated",5,1,3,83,"E 68","Letter","Y",TRUE,"CV","p","p",1017,TRUE,1
"266","CVOE updated",5,1,3,84,"H 17","Letter","N",TRUE,"CV","q","q",892,TRUE,1
"267","CVOE updated",5,1,3,85,"I 70","Number","Y",TRUE,"OE","q","p",1624,FALSE,0
"268","CVOE updated",5,1,3,86,"J 88","Number","N",FALSE,"OE","p","p",1310,TRUE,1
"269","CVOE updated",5,1,3,87,"O 32","Letter","Y",TRUE,"CV","p","p",996,TRUE,1
"270","CVOE updated",5,1,3,88,"P 95","Letter","N",TRUE,"CV","q","q",780,TRUE,1
"271","CVOE updated",5,1,3,89,"S 98","Number","Y",FALSE,"OE","p","p",738,TRUE,1
"272","CVOE updated",5,1,3,90,"U 37","Number","N",FALSE,"OE","q","q",1141,TRUE,1
"273","CVOE updated",5,1,3,91,"A 56","Letter","Y",TRUE,"CV","p","p",667,TRUE,1
"274","CVOE updated",5,1,3,92,"D 57","Letter","N",TRUE,"CV","q","q",993,TRUE,1
"275","CVOE updated",5,1,3,93,"E 93","Number","Y",FALSE,"OE","q","q",1194,TRUE,1
"276","CVOE updated",5,1,3,94,"H 27","Number","N",TRUE,"OE","p","q",578,FALSE,0
"277","CVOE updated",5,1,3,95,"I 35","Letter","Y",FALSE,"CV","p","p",1077,TRUE,1
"278","CVOE updated",5,1,3,96,"J 03","Letter","N",TRUE,"CV","q","q",670,TRUE,1
"279","CVOE updated",5,1,3,97,"O 28","Number","Y",TRUE,"OE","p","p",668,TRUE,1
"280","CVOE updated",5,1,3,98,"P 59","Number","N",TRUE,"OE","q","q",562,TRUE,1
"281","CVOE updated",5,1,3,99,"S 77","Letter","Y",TRUE,"CV","q","q",730,TRUE,1
"282","CVOE updated",5,1,3,100,"U 05","Letter","N",FALSE,"CV","p","p",613,TRUE,1
"283","CVOE updated",5,1,3,101,"A 56","Number","Y",TRUE,"OE","p","p",1048,TRUE,1
"284","CVOE updated",5,1,3,102,"D 01","Number","N",TRUE,"OE","q","q",764,TRUE,1
"285","CVOE updated",5,1,3,103,"E 02","Letter","Y",TRUE,"CV","p","p",1236,TRUE,1
